M_fetched,M_used,streams,mean_conditional_fidelity,std_conditional_fidelity,mean_success_probability,std_success_probability
8,6,40,0.3784876933190592,0.22867736282112644,0.08446382051826852,0.056246423030166914
16,12,40,0.5750587863136284,0.21934164445814985,0.08419321285148541,0.054337582181008676
32,24,40,0.7405055255512957,0.17128823298290963,0.058011511253492444,0.020862818898931566
64,48,40,0.835430633891345,0.11136781277341226,0.053841078626605865,0.01675622385715845
128,96,40,0.8941961796634532,0.10009875385887902,0.04649062722705548,0.010779871608128414
256,192,40,0.9446690553151738,0.045674272034414085,0.04790932742727262,0.007138195276225983
