M_fetched,M_used,stream_id,success_probability,conditional_fidelity
8,6,0,0.05656444469910209,0.305288706191536
8,6,1,0.06631401351523716,0.2777334867943942
8,6,2,0.12250500159251393,0.657253155863057
8,6,3,0.03014682641632126,0.0950956308557311
8,6,4,0.05500611853168851,0.642420510768822
8,6,5,0.07491737653507434,0.21674308103132456
8,6,6,0.2360125397155101,0.26316776360284244
8,6,7,0.056953593839107086,0.3778061753101123
8,6,8,0.057335412232918326,0.25445023117180926
8,6,9,0.0602931632784879,0.5582581417807536
8,6,10,0.18857162406266137,0.17872480795512952
8,6,11,0.08858437656090591,0.6936950161621519
8,6,12,0.00910246920301651,0.015082178957769301
8,6,13,0.06976652072555298,0.24916112394354478
8,6,14,0.08983343473768131,0.7614733136037927
8,6,15,0.04896527730705004,0.4383713587170091
8,6,16,0.009954439125370333,0.04933662198935819
8,6,17,0.05956042620108352,0.3360471426023954
8,6,18,0.1159457260998723,0.5506615134764652
8,6,19,0.13710530147173733,0.5788356964312295
8,6,20,0.06785809623673773,0.1974083154921203
8,6,21,0.1080596030022641,0.5312821054479684
8,6,22,0.027113549254513675,0.166565237646751
8,6,23,0.04554600120386055,0.36729446442730046
8,6,24,0.09035050351139878,0.7560211091662727
8,6,25,0.22397558850826757,0.29443308386191996
8,6,26,0.013155318869516985,0.01900695483095146
8,6,27,0.10064977582360701,0.6293707378867708
8,6,28,0.028085768132819783,0.7228746221411948
8,6,29,0.026081143209504498,0.1748587551243037
8,6,30,0.10064977582360701,0.6293707378867708
8,6,31,0.16635642664807904,0.26504019735914497
8,6,32,0.13345922750621822,0.2831962696622408
8,6,33,0.09235891229862685,0.6759293138338767
8,6,34,0.16635642664807904,0.26504019735914497
8,6,35,0.10029495558234552,0.6964997839269068
8,6,36,0.009960078885478623,2.018574618559131e-06
8,6,37,0.05705518187178735,0.3765185865662985
8,6,38,0.04934837402121606,0.4414694741654806
8,6,39,0.13840002784191993,0.14772011019310446
16,12,0,0.1664795312744488,0.42801140234681506
16,12,1,0.019060835603818167,0.6953311870152735
16,12,2,0.029956085812800393,0.6055959761423885
16,12,3,0.0715789539591365,0.5739765305937635
16,12,4,0.06788678374661601,0.6470569400177663
16,12,5,0.22993831046055885,0.31490090125125897
16,12,6,0.07553978328175155,0.5043129261902919
16,12,7,0.075983759342315,0.5084747568169083
16,12,8,0.04298545544403049,0.9777413398792169
16,12,9,0.11828564859677053,0.6243762712196138
16,12,10,0.0744467886193386,0.2475534329184596
16,12,11,0.08044581523730347,0.5376338546365166
16,12,12,0.021842836800185755,0.1628373580145106
16,12,13,0.06208812995025837,0.6076359390859724
16,12,14,0.10286113464070092,0.6580212722132516
16,12,15,0.044707499888274486,0.986896528357999
16,12,16,0.01790220067876352,0.23529176819136904
16,12,17,0.03521231377736395,0.9802844716026495
16,12,18,0.08982652463347242,0.8640743373215815
16,12,19,0.15319323932618725,0.2852139555617448
16,12,20,0.10380430049272671,0.39914658520980284
16,12,21,0.062288156301196426,0.664417484704339
16,12,22,0.09214251086309107,0.8474402979809156
16,12,23,0.07445564273743234,0.5750350915221839
16,12,24,0.027294854262692316,0.6738441963664881
16,12,25,0.09533237317198824,0.5828396206018636
16,12,26,0.03557696088938605,0.5784645677437986
16,12,27,0.10298817841813347,0.6876170351703801
16,12,28,0.09241885946945809,0.8441515495035583
16,12,29,0.030837127786918942,0.6148953553052834
16,12,30,0.07079863503160297,0.8152346021114087
16,12,31,0.19943285400002372,0.23805350268058237
16,12,32,0.089748345812622,0.8442028156940997
16,12,33,0.050267573475110044,0.5815342043138768
16,12,34,0.01831280576042497,0.20647632059941756
16,12,35,0.23687343369978822,0.29177355111752695
16,12,36,0.08505932441301142,0.5122773075262401
16,12,37,0.08831516882717373,0.5099212435923695
16,12,38,0.06981484238122809,0.6142316887992495
16,12,39,0.1617449351913127,0.47557328262439996
32,24,0,0.049500955436679095,0.6155883252251345
32,24,1,0.06000986961320617,0.9345008100005839
32,24,2,0.1112541600732766,0.5473966661481807
32,24,3,0.03513683273242138,0.8556665723008552
32,24,4,0.10057441712174549,0.39770037060068375
32,24,5,0.044648205017923576,0.9982215105702741
32,24,6,0.07587307195178124,0.7905483850181724
32,24,7,0.05249199115315043,0.8566525479078222
32,24,8,0.04312926474475713,0.6977245909049732
32,24,9,0.07720032065458023,0.9531623761337724
32,24,10,0.07007997928099677,0.8310735672723608
32,24,11,0.03363105319473668,0.8942774363482985
32,24,12,0.08057383593932069,0.7460783524658555
32,24,13,0.03965402052588981,0.7470931990100128
32,24,14,0.07238359634547718,0.821361692426856
32,24,15,0.02166674989168789,0.41594730617781883
32,24,16,0.035163746565327156,0.8977225831201585
32,24,17,0.06263045068763788,0.9573716412901121
32,24,18,0.07111664598940996,0.8484836124579983
32,24,19,0.058596912383738944,0.49707840664374386
32,24,20,0.06411313420542246,0.2429532776232105
32,24,21,0.07232771339088312,0.5633091096528884
32,24,22,0.05205881870198882,0.8185053376038707
32,24,23,0.07296861311207424,0.6321744099867769
32,24,24,0.044405721655751795,0.6366974486549937
32,24,25,0.022668585888688222,0.8504401209409354
32,24,26,0.05427256686393535,0.8311346210498947
32,24,27,0.041417319992085956,0.722518515490266
32,24,28,0.0471314207586971,0.6126826516063284
32,24,29,0.05251022769842869,0.8395030921473967
32,24,30,0.043917167935047075,0.6905994649201668
32,24,31,0.023725528902993096,0.8101400287267687
32,24,32,0.036015271403894905,0.5387677653587462
