experiment_id,M_data,M_over_D,R_stream_index,ideal_F_echo,logical_cx,negative_sample_count,stream_sha256,qasm_sha256
imdb_flat_031_iid_M16_r5,16,4.0,5,0.6401650429449552,36,15,adbd6fcbd271ed7702ecc84a429e93160bb9a03ddcc700b3521424c411a7cc07,5725c1f9f88422b92f3fab25f22138773748f3090ddcf8a3bbd24e4f9c390a9d
imdb_flat_032_iid_M16_r6,16,4.0,6,0.25,30,12,0e04cd41910171fb7b4ca8bbbb8b7ff0f4eb041959831e14eee2315e23179de8,a9573532b6f9e4b0d27cb19a8370feadb109a0321abe046064cb001fa23c1894
imdb_flat_033_iid_M16_r7,16,4.0,7,0.46338834764831843,28,11,0871a7f1e39f996ca2cb69ac6ee0738b9a5e8ce0c9510d088a79a0344f67ce9d,677d6cba64d910475449f56bd6b5fc1aa6ebadbc58fc279282cd3a4c16b163d9
imdb_flat_034_iid_M16_r8,16,4.0,8,0.7285533905932737,30,12,36d1c9c9618ec28bb464d52fd64c5c4765f4e8207828dac127c4df4ec620a60d,7fc4fee023ed19edb0897c10f96c6bfd3039d0eab31af660486f28b0e626b2a1
imdb_flat_035_iid_M16_r9,16,4.0,9,0.7285533905932737,30,12,ab111d7a6c4798cd8ad8ed053c96136f65072e79d5da7f094388b02267ba9dcb,18884cfdb303171fa7a8b03b9d7b1b0c33228cf1c05c76ce5d048032a8fccd06
imdb_flat_036_iid_M16_r10,16,4.0,10,0.7285533905932737,38,16,d4f1096e59ab7977b0669949556ee58681a12af1a1205af2e9ed28928bb2252d,7cee06138ac98157b00df0dbbd132131473e862b2e6b27e9143f2e26058780cb
imdb_flat_037_iid_M16_r11,16,4.0,11,0.4267766952966369,34,14,5af5b5babaddf9bd6d4ec911c018239a0ac1243b9ceb3a50a0bd51e0d744adc2,18f270534283dbfb3265c8bc761fc4fabd9cbe74256761d852827a4b594c99de
imdb_flat_038_iid_M16_r12,16,4.0,12,0.25,34,14,6777a6bf9776cfe86aa5628ae798fa7bf44b8cf10c4157fd440076a528c534a6,8e404418ee0cda2ae31e766d90b7e848ccc8b971a6c8835db190dd9c285d762b
imdb_flat_039_iid_M16_r13,16,4.0,13,0.37499999999999994,30,12,016c591ece75fb776a00cc9faf83254ccc66fda27e727938353a4ab26c71a8c6,fa4f905d593e671c5f0acf28467f549eba4a4a3c75d6df36ab348ba3245c0a72
imdb_flat_040_iid_M16_r14,16,4.0,14,0.12499999999999997,30,12,8c7f4e0d3df4ea8da56e99e3ccaf822371edcaf0a16968c6a488aa727e6c0e2b,f8a3f17ab0efb8aa52d646510873251e1b0e0ea8e2a985cca0b6398df94b9906
imdb_flat_041_iid_M16_r15,16,4.0,15,0.7285533905932737,30,12,f44763081adacc15228782018d4555bbc3ac71ea299d60a747b7fa65a1ced9d4,c8336e53d5c6507219fd588668d8d0d6612a1fe50e1fb53c78d6c976790a7f18
imdb_flat_042_iid_M16_r16,16,4.0,16,0.10983495705504469,32,13,e0932efac02fd65cb3f85ca0edc4c5f9a05e29992cd80928653fe75ac91068d2,3a4f48e34c548d1ba0356add5a84e92c270c66f925a04be19cb57432bb64d591
imdb_flat_043_iid_M16_r17,16,4.0,17,0.8535533905932737,34,14,4e5c73e52d57f2272e686f4c4a2d391885dd4a1c2adc3f521dd32313a9b5d1f4,0104a52ef230380ad1f4d25e0d144892e5859eee3489639155134638f527a648
imdb_flat_044_iid_M16_r18,16,4.0,18,0.12499999999999994,30,12,9cbcc996169c17581cfc5a69a0a63b234ab4857484dc0c14ec1636d2128df4a7,a5ac3cbca6b467f35af55baba76fe905e7181fe9597fc5ae0376670d9bd5c530
