component_j,mu_positive,mu_negative,centroid_weight_wj,flat_sign_sj
0,0.4191904894988496,0.339049470064192,0.08014101943465762,1
1,0.1857587455143335,0.26556517136632124,-0.07980642585198774,-1
2,0.02282643049316685,0.10489832345704925,-0.0820718929638824,-1
3,-0.11392507596880383,-0.09686338892033271,-0.017061687048471122,-1
