experiment_id,control_type,source,D,n_address,n_total_qubits,algorithmic_ancillas,flat_sign_vector,num_negative_components_K,model_sha256,M_data,R_stream_index,S_shots,stream_mode,stream_sha256,ideal_F_echo,statevector_F_echo,full_state_l2_error,qasm_path,qasm_sha256,logical_depth,logical_h,logical_x,logical_u1,logical_cx,logical_barrier,recommended_functional_pilot
imdb_flat_011_iid_M4_r5,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,5,2048,iid,3329c5189b4d5e933aa3456978f1e060afda2b439d59361dfbe98b34e2512f2c,0.25,0.24999999999999983,5.087681048627601e-16,results/imdb_vector_pilot/qasm/imdb_flat_011_iid_M4_r5.qasm,d2cbd310675659d8588bbd65c60e44f648e2bb10971a094e0a6e65d854ca83d6,42,4,8,21,14,10,False
imdb_flat_012_iid_M4_r6,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,6,2048,iid,6dca6c68c8e5ddd435f91a5842e5faace1be3a267f364a880c20e1d3e3efb29b,1.4997597826618576e-32,5.873749307780343e-31,1.1381048762758776e-15,results/imdb_vector_pilot/qasm/imdb_flat_012_iid_M4_r6.qasm,2d3290eccd42f7db9d3175b776987ac78ba4d6e1c87fc548f5d30a61ed6ea2f7,38,4,10,18,12,10,False
imdb_flat_013_iid_M4_r7,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,7,2048,iid,b64c0d4ec2af5aba75d0e38754bd4da29669e6bd54220441f3710964fdb4ece3,0.25,0.24999999999999983,8.082545620880527e-16,results/imdb_vector_pilot/qasm/imdb_flat_013_iid_M4_r7.qasm,b477d9c98038a2bd3dc8608c2144cc6bef24c33d7978c6b06fde0ade3f47408e,32,4,8,15,10,10,False
imdb_flat_014_iid_M4_r8,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,8,2048,iid,57afab5e450b0bbe35b2ed8395f802f72f49ae3dc3b0725c9632660af41ac0fd,0.25,0.24999999999999983,8.082545620880529e-16,results/imdb_vector_pilot/qasm/imdb_flat_014_iid_M4_r8.qasm,f67265bca02ba196219411c5307595099b1fed02e1162ef47c0e2a836fdad58b,30,4,4,15,10,10,False
imdb_flat_015_iid_M4_r9,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,9,2048,iid,5778f985db754c6628691f56fadae50c65fddbe8eb2e93039633fefa05d45e31,3.749399456654644e-33,1.4763678230593879e-31,5.560634656913422e-16,results/imdb_vector_pilot/qasm/imdb_flat_015_iid_M4_r9.qasm,04d86187675907a8dd846d5250f35813ece92034688e2db3615b2a12d804c53c,26,4,6,12,8,10,False
imdb_flat_016_iid_M4_r10,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,10,2048,iid,6a70b00ccd6b375554ee2139cada181d701e79185a4a113af8f5e6fa04c829f6,0.0,1.0573994819069698e-33,7.116331949690932e-16,results/imdb_vector_pilot/qasm/imdb_flat_016_iid_M4_r10.qasm,b057c19b3c2a2912995957c77747d4d3368f5ef8859abd3cac08eab2bb1bdd7c,36,4,6,18,12,10,False
imdb_flat_017_iid_M4_r11,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,11,2048,iid,81c3a337bf8b7341ea7b77820365a4d29fb80609b4ba67298e767975baa2359f,0.0,1.0573994819069698e-33,7.116331949690931e-16,results/imdb_vector_pilot/qasm/imdb_flat_017_iid_M4_r11.qasm,db45c076cb5f68c849e1364f9efc0557f65d93898bf11a65d3ab53ed91a1f959,38,4,10,18,12,10,False
imdb_flat_018_iid_M4_r12,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,12,2048,iid,7a87bdb1cc8d6df4973f30cb6d3dd63eebedb51dd58396349b48ffa6148aa8fb,0.25,0.24999999999999983,5.0876810486276e-16,results/imdb_vector_pilot/qasm/imdb_flat_018_iid_M4_r12.qasm,cfbf445af15c0b0922fbcb9c2d8add155ec5d69650afeff705738eb45e154ddd,43,4,10,21,14,10,False
imdb_flat_019_iid_M4_r13,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,13,2048,iid,2f168d7a99669e492ffbbaccda9b0a1cb090578c6df8e50a772f1fb57303bd83,0.25,0.24999999999999983,8.082545620880529e-16,results/imdb_vector_pilot/qasm/imdb_flat_019_iid_M4_r13.qasm,f05d3c033b7b458bc0d43355858b9417360ffa8e9c15223401398fe8698d4f35,42,4,8,21,14,10,False
imdb_flat_020_iid_M4_r14,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,14,2048,iid,fa9cc3e0088a2fc6ba7ba2f4224f88fc8ae064aa2bb29e4414235fd4fbc5e87f,0.25,0.24999999999999983,5.0876810486276e-16,results/imdb_vector_pilot/qasm/imdb_flat_020_iid_M4_r14.qasm,ca7f8bfd48b88c7e894c9172ca1cc7b2cc27e78689987c480fb543085bec6fdc,31,4,6,15,10,10,False
imdb_flat_021_iid_M4_r15,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,15,2048,iid,45a9157e73c20b7d027d0c3d494e17ab9d957322deb326fff3791607f5943417,1.0,0.9999999999999993,3.3465108930259546e-16,results/imdb_vector_pilot/qasm/imdb_flat_021_iid_M4_r15.qasm,f34faa539b1e7881b6ff96c995b98c9ad0e8530f6eaddd7a32c5196a003ba470,37,4,8,18,12,10,False
imdb_flat_022_iid_M4_r16,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,16,2048,iid,6d070fc69e738742c1ecd5f6ee4d7b5cc93140b3e64677847ebfbe4a741b2673,0.25,0.24999999999999983,1.0235750533041803e-15,results/imdb_vector_pilot/qasm/imdb_flat_022_iid_M4_r16.qasm,914a2f1cdb694b943ec4a68b85d0bff27b53df36b1caddb7330cf9de4d4c9d11,43,4,10,21,14,10,False
imdb_flat_023_iid_M4_r17,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,17,2048,iid,0ed4fbb6e324c59a174f607e291961e11606dd5377df9befb74f6962f613e37d,0.25,0.24999999999999983,1.0235750533041803e-15,results/imdb_vector_pilot/qasm/imdb_flat_023_iid_M4_r17.qasm,c397aa424e60ccb1d38e0f56dfebf7f86c93e5c9775ddf64d77aca35eff55ada,41,4,6,21,14,10,False
imdb_flat_024_iid_M4_r18,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,18,2048,iid,5cce1c2c5058a9ecbe78b360130f5dcf2037e509b9084206c5e816965f5cae2c,1.4997597826618576e-32,5.863175312961273e-31,1.1381048762758776e-15,results/imdb_vector_pilot/qasm/imdb_flat_024_iid_M4_r18.qasm,1b3c7d83f04e995008786bdb3eee6399a5d13c7037f760385214c50bca1d483a,35,4,4,18,12,10,False
imdb_flat_025_iid_M4_r19,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,4,19,2048,iid,2f168d7a99669e492ffbbaccda9b0a1cb090578c6df8e50a772f1fb57303bd83,0.25,0.24999999999999983,8.082545620880529e-16,results/imdb_vector_pilot/qasm/imdb_flat_025_iid_M4_r19.qasm,f05d3c033b7b458bc0d43355858b9417360ffa8e9c15223401398fe8698d4f35,42,4,8,21,14,10,False
imdb_flat_026_iid_M16_r0,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,0,2048,iid,e65efa1e16019fd8c07f9ef2cd1497e8a1a18eadbaf1fa99cd0a2c55e8e7c945,0.8901650429449554,0.8901650429449535,1.1226435567921847e-15,results/imdb_vector_pilot/qasm/imdb_flat_026_iid_M16_r0.qasm,dc1c47028a3201badcf3a39140fd6a362be5cad3f5a777f440c844b938c14a21,82,4,18,42,28,22,False
imdb_flat_027_iid_M16_r1,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,1,2048,iid,ce061b83ff99de596f33e13ecd37293c9448c2b818a3aa27c2d94d94d6d1c893,0.03661165235168155,0.036611652351681595,8.465450562766819e-16,results/imdb_vector_pilot/qasm/imdb_flat_027_iid_M16_r1.qasm,0866e4a1e27e26e765de17e48c65279c62e6b564c51ecfb5722a28c6536c3ba5,97,4,28,48,32,22,False
imdb_flat_028_iid_M16_r2,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,2,2048,iid,2a114fe8215a7c99a197ce5ba9c0d7a118675579986a061dd637103c4130b5e2,0.25,0.24999999999999944,1.1219497897117428e-15,results/imdb_vector_pilot/qasm/imdb_flat_028_iid_M16_r2.qasm,449646fd82f9868de0ac5a46a2a84ba584746b8a084e5185f3ee603b5a5c5590,75,4,14,39,26,22,False
imdb_flat_029_iid_M16_r3,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,3,2048,iid,9ed1fc0ea45084a117aa52c62f7996a2410b8aad380624afac5f00b7b70e265b,0.021446609406726238,0.021446609406726148,9.530312491062508e-16,results/imdb_vector_pilot/qasm/imdb_flat_029_iid_M16_r3.qasm,7f48c07f6db7287b740b89ee28dc62bbc3bce024c86ead87d21d6d5ee56a9435,67,4,18,33,22,22,False
imdb_flat_030_iid_M16_r4,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,4,2048,iid,882072e399a449d309b6dc1fb5612f23cb1e0f2e4db4ac95a075682cf36d97a7,0.5000000000000001,0.4999999999999991,1.4323503506548924e-15,results/imdb_vector_pilot/qasm/imdb_flat_030_iid_M16_r4.qasm,0c537fcf4700703f4cc1cb05ed75cfaddade31c7eaf022662ae8f0d60c07ce09,112,4,28,57,38,22,False
imdb_flat_031_iid_M16_r5,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,5,2048,iid,adbd6fcbd271ed7702ecc84a429e93160bb9a03ddcc700b3521424c411a7cc07,0.6401650429449552,0.640165042944954,1.2551536537447354e-15,results/imdb_vector_pilot/qasm/imdb_flat_031_iid_M16_r5.qasm,5725c1f9f88422b92f3fab25f22138773748f3090ddcf8a3bbd24e4f9c390a9d,105,4,24,54,36,22,False
imdb_flat_032_iid_M16_r6,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,6,2048,iid,0e04cd41910171fb7b4ca8bbbb8b7ff0f4eb041959831e14eee2315e23179de8,0.25,0.2499999999999995,1.0454104952753425e-15,results/imdb_vector_pilot/qasm/imdb_flat_032_iid_M16_r6.qasm,a9573532b6f9e4b0d27cb19a8370feadb109a0321abe046064cb001fa23c1894,88,4,20,45,30,22,False
imdb_flat_033_iid_M16_r7,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,7,2048,iid,0871a7f1e39f996ca2cb69ac6ee0738b9a5e8ce0c9510d088a79a0344f67ce9d,0.46338834764831843,0.46338834764831754,1.024515407249224e-15,results/imdb_vector_pilot/qasm/imdb_flat_033_iid_M16_r7.qasm,677d6cba64d910475449f56bd6b5fc1aa6ebadbc58fc279282cd3a4c16b163d9,84,4,22,42,28,22,False
imdb_flat_034_iid_M16_r8,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,8,2048,iid,36d1c9c9618ec28bb464d52fd64c5c4765f4e8207828dac127c4df4ec620a60d,0.7285533905932737,0.7285533905932722,1.1561400264645062e-15,results/imdb_vector_pilot/qasm/imdb_flat_034_iid_M16_r8.qasm,7fc4fee023ed19edb0897c10f96c6bfd3039d0eab31af660486f28b0e626b2a1,89,4,22,45,30,22,False
imdb_flat_035_iid_M16_r9,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,9,2048,iid,ab111d7a6c4798cd8ad8ed053c96136f65072e79d5da7f094388b02267ba9dcb,0.7285533905932737,0.7285533905932722,1.1647631224855286e-15,results/imdb_vector_pilot/qasm/imdb_flat_035_iid_M16_r9.qasm,18884cfdb303171fa7a8b03b9d7b1b0c33228cf1c05c76ce5d048032a8fccd06,87,4,18,45,30,22,False
imdb_flat_036_iid_M16_r10,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,10,2048,iid,d4f1096e59ab7977b0669949556ee58681a12af1a1205af2e9ed28928bb2252d,0.7285533905932737,0.7285533905932726,1.1688689843384096e-15,results/imdb_vector_pilot/qasm/imdb_flat_036_iid_M16_r10.qasm,7cee06138ac98157b00df0dbbd132131473e862b2e6b27e9143f2e26058780cb,110,4,24,57,38,22,False
imdb_flat_037_iid_M16_r11,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,11,2048,iid,5af5b5babaddf9bd6d4ec911c018239a0ac1243b9ceb3a50a0bd51e0d744adc2,0.4267766952966369,0.4267766952966362,1.2710871844002096e-15,results/imdb_vector_pilot/qasm/imdb_flat_037_iid_M16_r11.qasm,18f270534283dbfb3265c8bc761fc4fabd9cbe74256761d852827a4b594c99de,98,4,20,51,34,22,False
imdb_flat_038_iid_M16_r12,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,12,2048,iid,6777a6bf9776cfe86aa5628ae798fa7bf44b8cf10c4157fd440076a528c534a6,0.25,0.2499999999999994,1.1858844481706744e-15,results/imdb_vector_pilot/qasm/imdb_flat_038_iid_M16_r12.qasm,8e404418ee0cda2ae31e766d90b7e848ccc8b971a6c8835db190dd9c285d762b,100,4,24,51,34,22,False
imdb_flat_039_iid_M16_r13,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,13,2048,iid,016c591ece75fb776a00cc9faf83254ccc66fda27e727938353a4ab26c71a8c6,0.37499999999999994,0.3749999999999991,1.2577594588472295e-15,results/imdb_vector_pilot/qasm/imdb_flat_039_iid_M16_r13.qasm,fa4f905d593e671c5f0acf28467f549eba4a4a3c75d6df36ab348ba3245c0a72,86,4,16,45,30,22,False
imdb_flat_040_iid_M16_r14,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,14,2048,iid,8c7f4e0d3df4ea8da56e99e3ccaf822371edcaf0a16968c6a488aa727e6c0e2b,0.12499999999999997,0.12499999999999967,1.1421174857839603e-15,results/imdb_vector_pilot/qasm/imdb_flat_040_iid_M16_r14.qasm,f8a3f17ab0efb8aa52d646510873251e1b0e0ea8e2a985cca0b6398df94b9906,90,4,24,45,30,22,False
imdb_flat_041_iid_M16_r15,iid,IMDb D=4 signed-hash class-centroid sign vector,4,2,2,0,"[1, -1, -1, -1]",3,1c555182246240ed67c26a375f5db2ee3d73a9867edb03d26cad6826af9cc17c,16,15,2048,iid,f44763081adacc15228782018d4555bbc3ac71ea299d60a747b7fa65a1ced9d4,0.7285533905932737,0.7285533905932724,1.0115197631681466e-15,results/imdb_vector_pilot/qasm/imdb_flat_041_iid_M16_r15.qasm,c8336e53d5c6507219fd588668d8d0d6612a1fe50e1fb53c78d6c976790a7f18,88,4,20,45,30,22,False
