M_over_N,M_data,stream_index,ideal_F_echo,transpiled_depth_local,local_cx_count,generic_noise_F_echo,shot_ci95_halfwidth,counts
2,8,16,0.12499999999999997,118,60,0.14794921875,0.015377303030218566,"{""00"": 303, ""01"": 336, ""10"": 271, ""11"": 1138}"
2,8,17,0.25,141,72,0.2392578125,0.01847748717802824,"{""00"": 490, ""01"": 554, ""10"": 501, ""11"": 503}"
2,8,18,0.0,141,72,0.05029296875,0.009465412782054526,"{""00"": 103, ""01"": 132, ""10"": 139, ""11"": 1674}"
2,8,19,0.12499999999999997,118,60,0.138671875,0.014968200892528762,"{""00"": 284, ""01"": 307, ""10"": 289, ""11"": 1168}"
2,8,20,0.6250000000000001,118,60,0.55126953125,0.021541000437975435,"{""00"": 1129, ""01"": 301, ""10"": 326, ""11"": 292}"
2,8,21,0.6250000000000001,164,84,0.51513671875,0.021645219634426963,"{""00"": 1055, ""01"": 336, ""10"": 339, ""11"": 318}"
2,8,22,0.25,141,72,0.24609375,0.018655206430663603,"{""00"": 504, ""01"": 539, ""10"": 485, ""11"": 520}"
2,8,23,0.6250000000000001,164,84,0.5166015625,0.021643205051655776,"{""00"": 1058, ""01"": 322, ""10"": 355, ""11"": 313}"
2,8,24,1.0,141,72,0.82470703125,0.016467330123806037,"{""00"": 1689, ""01"": 127, ""10"": 142, ""11"": 90}"
2,8,25,0.25,187,96,0.25244140625,0.018814557552097343,"{""00"": 517, ""01"": 497, ""10"": 530, ""11"": 504}"
2,8,26,0.25,141,72,0.2451171875,0.018630209826987567,"{""00"": 502, ""01"": 530, ""10"": 518, ""11"": 498}"
2,8,27,0.12500000000000003,72,36,0.13525390625,0.014811884199039642,"{""00"": 277, ""01"": 288, ""10"": 297, ""11"": 1186}"
2,8,28,1.0,141,72,0.8154296875,0.016802166282790396,"{""00"": 1670, ""01"": 156, ""10"": 114, ""11"": 108}"
2,8,29,1.0,141,72,0.80517578125,0.017153704270024477,"{""00"": 1649, ""01"": 164, ""10"": 123, ""11"": 112}"
4,16,0,0.8901650429449554,256,132,0.64306640625,0.020749742847990662,"{""00"": 1317, ""01"": 242, ""10"": 269, ""11"": 220}"
4,16,1,0.10983495705504469,256,132,0.1533203125,0.015604523569256101,"{""00"": 314, ""01"": 477, ""10"": 468, ""11"": 789}"
4,16,2,0.25,325,168,0.26025390625,0.019003389234851193,"{""00"": 533, ""01"": 521, ""10"": 516, ""11"": 478}"
4,16,3,0.46338834764831843,210,108,0.3955078125,0.021176977475297818,"{""00"": 810, ""01"": 457, ""10"": 436, ""11"": 345}"
4,16,4,0.25,141,72,0.25439453125,0.018862511739599203,"{""00"": 521, ""01"": 511, ""10"": 528, ""11"": 488}"
4,16,5,0.28661165235168157,302,156,0.25439453125,0.018862511739599203,"{""00"": 521, ""01"": 278, ""10"": 277, ""11"": 972}"
4,16,6,0.7285533905932737,233,120,0.546875,0.021559770936616082,"{""00"": 1120, ""01"": 363, ""10"": 365, ""11"": 200}"
4,16,7,0.8901650429449554,210,108,0.67138671875,0.020343235379806236,"{""00"": 1375, ""01"": 214, ""10"": 244, ""11"": 215}"
4,16,8,0.7285533905932737,233,120,0.5537109375,0.021529838299114156,"{""00"": 1134, ""01"": 361, ""10"": 356, ""11"": 197}"
4,16,9,0.28661165235168157,118,60,0.27197265625,0.019272034400915065,"{""00"": 557, ""01"": 165, ""10"": 156, ""11"": 1170}"
4,16,10,0.8535533905932737,279,144,0.61572265625,0.02106716284921974,"{""00"": 1261, ""01"": 208, ""10"": 244, ""11"": 335}"
4,16,11,1.0,233,120,0.72900390625,0.01925030160933161,"{""00"": 1493, ""01"": 189, ""10"": 187, ""11"": 179}"
4,16,12,0.46338834764831843,210,108,0.388671875,0.021111536439123207,"{""00"": 796, ""01"": 493, ""10"": 447, ""11"": 312}"
4,16,13,0.37499999999999994,141,72,0.33642578125,0.020463526688120653,"{""00"": 689, ""01"": 335, ""10"": 314, ""11"": 710}"
4,16,14,0.6250000000000001,187,96,0.51708984375,0.02164249215437296,"{""00"": 1059, ""01"": 314, ""10"": 346, ""11"": 329}"
4,16,15,0.46338834764831843,210,108,0.38134765625,0.021036571815450184,"{""00"": 781, ""01"": 468, ""10"": 491, ""11"": 308}"
4,16,16,0.6401650429449552,302,156,0.46923828125,0.021614122511746547,"{""00"": 961, ""01"": 283, ""10"": 276, ""11"": 528}"
4,16,17,0.10983495705504469,256,132,0.173828125,0.016412937708594057,"{""00"": 356, ""01"": 463, ""10"": 465, ""11"": 764}"
4,16,18,0.37499999999999994,325,168,0.3173828125,0.02015911242763906,"{""00"": 650, ""01"": 389, ""10"": 368, ""11"": 641}"
4,16,19,0.8901650429449554,256,132,0.63623046875,0.02083586270902131,"{""00"": 1303, ""01"": 272, ""10"": 242, ""11"": 231}"
