M_over_N,M_data,R_streams,S_shots,analytic_ideal_F,mean_noiseless_QASM_F,noiseless_QASM_approx_normal_ci95_halfwidth,mean_generic_noise_F,generic_noise_approx_normal_ci95_halfwidth,mean_local_cx_count,balanced_generic_noise_F,balanced_shot_approx_normal_ci95_halfwidth
1,4,30,2048,0.34375,0.31666666666666665,0.13066666666666665,0.3021321614583333,0.10942269295077775,48.8,0.86865234375,0.014629357634024492
2,8,30,2048,0.4398193359375,0.5291666666666667,0.11903411163108148,0.46064453125,0.09113943845876475,70.0,0.8173828125,0.016733033126436637
4,16,30,2048,0.5804829619019918,0.5163346259032624,0.10287784407504046,0.418310546875,0.06492092360979979,119.6,0.734375,0.01912865836863335
8,32,30,2048,0.725544673699121,0.7551706078226297,0.07162818461911903,0.482080078125,0.034990221911428594,218.0,0.583984375,0.02134747581021763
16,64,30,2048,0.8390832948441878,0.8809913443020666,0.04376690144004349,0.40040690104166665,0.011160663297235852,406.0,0.419921875,0.021375613530037325
