M_fetched,M_used,streams,mean_fidelity,std_fidelity,mean_success_probability,std_success_probability,pooled_fidelity,sum_success_probability,mean_max_abs_phase_used,mean_max_abs_phase_discarded,mean_signal_outside_fit_fraction_used,mean_phase_branch_ambiguity_fraction_used,max_block_unitarity_error,fidelity_sem,success_sem,fidelity_ci_low,fidelity_ci_high,success_ci_low,success_ci_high,pooled_fidelity_ci_low,pooled_fidelity_ci_high
256,192,40,0.46498028797387503,0.08983587162403747,0.07312066484407514,0.01408120653337227,0.46216452715931267,2.924826593763006,1.3465639558549753,1.1533699149520873,0.03307291666666667,0.000390625,2.494040886246934e-16,0.014204298495922404,0.002226434242435008,0.43731614724345563,0.4917374860173785,0.06895189448144842,0.07751355519347686,0.4349100253318429,0.48938218346261475
512,384,40,0.6284553193813165,0.06598476790873473,0.061713545100832344,0.010022650224104968,0.6324883838768419,2.468541804033294,1.1866481943601608,1.0650191655941428,0.013541666666666665,0.0,2.4971674048143e-16,0.010433107873459361,0.001584720144968437,0.6090501348205651,0.6480674511536365,0.05859836091448767,0.0647537958916963,0.6130522564231649,0.6512826150166255
1024,768,40,0.7797031681523405,0.04924910214668366,0.05462890263450838,0.008832191785238665,0.7795353080271556,2.1851561053803352,1.0597282819780203,0.9353380795267364,0.006770833333333333,0.0,2.4959149998639827e-16,0.007786966775090416,0.0013964921386391453,0.7638923762329615,0.7940355578236469,0.052080743417709935,0.057299998680702846,0.7637221684731222,0.7935827857104217
2048,1536,40,0.8759691120194161,0.026952692455779064,0.049436873617993864,0.005580396087005393,0.8761046297725085,1.9774749447197546,1.00331148467993,0.9361530528126412,0.004817708333333333,0.0,2.496143407771966e-16,0.004261594861714947,0.0008823380940414096,0.8675727292503418,0.8841868453230307,0.047790730762951344,0.05116670524159049,0.8675121725736731,0.8844616011993998
4096,3072,40,0.9264086824788024,0.014355454239287616,0.047748489837976596,0.0035811611647272664,0.9260624184228016,1.909939593519064,0.9571947618863714,0.9020110243352379,0.0022135416666666666,0.0,2.492270633331814e-16,0.002269796612123434,0.0005662312974339804,0.9221178485256978,0.930911818263475,0.04666267362111897,0.04883251198266344,0.9217075366009896,0.9306444910240245
8192,6144,40,0.9633412436801375,0.010780609278507805,0.046268722673746834,0.0027047647652503233,0.9633177294012404,1.8507489069498735,0.9574313256610999,0.9186900771935512,0.003515625,0.0,2.49533366628326e-16,0.001704563994221459,0.0004276608596580834,0.9601865590756825,0.9666494884891914,0.04547619708771469,0.0471364909749405,0.960190512782805,0.9666044418214941
16384,12288,40,0.9790518055176491,0.006710465362090044,0.04471406378016861,0.001900398493517658,0.9790841175992815,1.7885625512067442,0.9236762177110561,0.8848881464464686,0.0024739583333333332,0.0,2.4974002836390025e-16,0.001061017735193553,0.0003004793850734266,0.9770491996607708,0.9810354896785892,0.04410862107882397,0.04527296331470963,0.9770752552963687,0.9810602118016378
