path,M_fetched,M_used,stream_id,success_probability,overlap_probability,conditional_direction_fidelity,phase_insensitive_l2,max_abs_phase_used,max_abs_phase_discarded,signal_outside_fit_fraction_used,phase_branch_ambiguity_fraction_used,block_unitarity_error,unused_fraction
active_sampled,256,192,0,0.05083142684341377,0.03115755027109669,0.612958404002263,0.6589133464668645,1.5001497097852143,0.8251433609254236,0.020833333333333332,0.0,2.44835544049646e-16,0.25
active_sampled,256,192,1,0.06769295321682547,0.035202443729165846,0.5200311414455482,0.7468174509517433,1.3609713850276055,1.4769061875173426,0.046875,0.0,2.4818836890971297e-16,0.25
active_sampled,256,192,2,0.06068832885058424,0.029341113111088852,0.48347208873269854,0.7806131280274956,1.1636641344142369,1.1678495204883212,0.020833333333333332,0.0,2.252637149248098e-16,0.25
active_sampled,256,192,3,0.06253301364824122,0.026925010629372362,0.4305727336416265,0.8292401191230026,1.1870184665064698,1.1213978014984798,0.020833333333333332,0.0,2.4712919136337275e-16,0.25
active_sampled,256,192,4,0.07318885325127043,0.03775374326884275,0.5158400711543791,0.7507062387724612,1.5206264686087565,1.307346313808935,0.026041666666666668,0.0,2.248566373230475e-16,0.25
active_sampled,256,192,5,0.07709046576599704,0.05271687661622352,0.6838313414299776,0.5883180194135545,1.2285581769999447,1.0477680314420157,0.052083333333333336,0.0,2.3299655694118525e-16,0.25
active_sampled,256,192,6,0.0839420424815128,0.03171714484296744,0.37784576006656917,0.8778478256235883,1.3863558094809436,1.2759534640808254,0.0625,0.0,2.4433596159433417e-16,0.25
active_sampled,256,192,7,0.05804357707796152,0.03038664617887984,0.5235143612542326,0.7435819754632182,1.0496655182787307,1.2491886767443725,0.010416666666666666,0.0,2.3879035638860224e-16,0.25
active_sampled,256,192,8,0.07808252519179165,0.03296143928013937,0.4221359286111358,0.8369947613597937,1.0239879755052614,0.9436238590917017,0.010416666666666666,0.0,2.4700988779650216e-16,0.25
active_sampled,256,192,9,0.08500495126046614,0.05174546524075058,0.6087347204305287,0.6630014556919125,1.278400488735457,1.3063965328186895,0.03125,0.0,2.3926829137010477e-16,0.25
active_sampled,256,192,10,0.07752223949060971,0.02156382834272735,0.27816312434239443,0.9722019112841357,1.4941838360259676,1.2901461808712846,0.041666666666666664,0.0,2.4706740012700396e-16,0.25
active_sampled,256,192,11,0.0681884411457144,0.02611160723752858,0.3829330425919214,0.8731370579746628,1.4566331385892675,1.1742032233075932,0.015625,0.0,2.4787120357752385e-16,0.25
active_sampled,256,192,12,0.11986977796114047,0.053380202229297756,0.44531827068706686,0.8156939198831222,1.6243450840090727,1.0554226644542613,0.046875,0.005208333333333333,2.4790336092144213e-16,0.25
