path,unit_samples,M_fetched,M_used,repeat,success_norm2_surrogate,conditional_direction_fidelity,padding_leakage
expected_operator,16,48,48,0,0.010021713678791632,0.9994605665620876,0.0
expected_operator,16,48,48,1,0.010029334802500109,0.9996733229727279,0.0
expected_operator,16,48,48,2,0.009871646401665246,0.9999089501448074,0.0
expected_operator,16,48,48,3,0.010272879190521715,0.9990360670391578,0.0
expected_operator,16,48,48,4,0.009937042673942085,0.9998440852304135,0.0
expected_operator,16,48,48,5,0.009931632914423227,0.9998080352889169,0.0
expected_operator,16,48,48,6,0.00993301521838574,0.9997669135843474,0.0
expected_operator,16,48,48,7,0.009965181702982256,0.9997925788314284,0.0
expected_operator,16,48,48,8,0.009998894107914363,0.9997364758425074,0.0
expected_operator,16,48,48,9,0.009843582286724278,0.9999182627583748,0.0
expected_operator,16,48,48,10,0.009935729496790616,0.9997330544744015,0.0
expected_operator,16,48,48,11,0.009962671631605621,0.999769694291717,0.0
expected_operator,16,48,48,12,0.009897585119091074,0.9998578150688215,0.0
expected_operator,16,48,48,13,0.010088229367317542,0.9996611654851001,0.0
expected_operator,16,48,48,14,0.009922080325755102,0.9998361965446314,0.0
expected_operator,16,48,48,15,0.009999330333390682,0.9997361988021143,0.0
expected_operator,16,48,48,16,0.010056503306443285,0.999506029909849,0.0
expected_operator,16,48,48,17,0.009991519090239561,0.9998003383527833,0.0
expected_operator,16,48,48,18,0.010046559830804578,0.9996926644799357,0.0
expected_operator,16,48,48,19,0.009992949514897742,0.9997363922502628,0.0
expected_operator,32,96,96,0,0.012510446520137015,0.9998756209748395,0.0
expected_operator,32,96,96,1,0.012386997927847762,0.9999498101966927,0.0
expected_operator,32,96,96,2,0.012555736711806775,0.9998236048605899,0.0
expected_operator,32,96,96,3,0.012529967202148797,0.9998939075840837,0.0
expected_operator,32,96,96,4,0.012691818528886716,0.9997237645354341,0.0
expected_operator,32,96,96,5,0.012584235329414703,0.999820460862696,0.0
expected_operator,32,96,96,6,0.012575340131887968,0.9998019420428207,0.0
expected_operator,32,96,96,7,0.012699778237775693,0.9996101579956225,0.0
expected_operator,32,96,96,8,0.01257557928689908,0.9998299238102171,0.0
expected_operator,32,96,96,9,0.01248762844530087,0.9998130980531327,0.0
expected_operator,32,96,96,10,0.012499021111306456,0.9998892562765372,0.0
expected_operator,32,96,96,11,0.012605140295491948,0.9997838121161989,0.0
