method,source_input_contract,source_input_l2_norm,unit_samples_per_group,replicate,accounted_samples_total,qsvt_consumed_samples,unused_samples,used_fraction,actively_drawn_pairs,rng_seed,classical_weight_scale_reused,classical_intercept_reused,success_probability,fidelity,test_accuracy,raw_target_overlap,orientation_multiplier,orientation_flipped,relative_weight_l2_error
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,0,48,48,0,1.0,0,20260729,5.726650464525151,0.03129082689345313,0.0023486861117370077,0.9988017542948194,0.67676,0.9994006975657058,1.0,False,0.03462087330770931
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,0,64,48,16,0.75,64,20270729,5.726650464525151,0.03129082689345313,0.1396458418719,0.0006559141376136611,0.50644,0.025610820713394974,1.0,False,1.3959865180485125
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,1,64,48,16,0.75,64,20270730,5.726650464525151,0.03129082689345313,0.1483892188129639,0.001971116313959709,0.49488,0.044397255703024135,1.0,False,1.382463557781525
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,2,64,48,16,0.75,64,20270731,5.726650464525151,0.03129082689345313,0.15790793940199355,0.00027078547745273523,0.511,-0.01645556068484861,-1.0,True,1.402529457312859
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,3,64,48,16,0.75,64,20270732,5.726650464525151,0.03129082689345313,0.1522717405005975,1.2491834607066098e-10,0.49668,-1.117668761622427e-05,-1.0,True,1.4142056592394077
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,4,64,48,16,0.75,64,20270733,5.726650464525151,0.03129082689345313,0.13252960234399994,0.010298795547766325,0.53076,0.10148298156718852,1.0,False,1.3405349815896723
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,5,64,48,16,0.75,64,20270734,5.726650464525151,0.03129082689345313,0.13481929959250022,0.007776088861615691,0.52028,0.08818213459434791,1.0,False,1.3504205755287144
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,6,64,48,16,0.75,64,20270735,5.726650464525151,0.03129082689345313,0.14730068833916127,0.013848546236080376,0.52856,-0.1176798463462643,-1.0,True,1.328397646530387
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,7,64,48,16,0.75,64,20270736,5.726650464525151,0.03129082689345313,0.12682169754980246,0.008093203212503439,0.5082,-0.08996223214495869,-1.0,True,1.349101751429477
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,8,64,48,16,0.75,64,20270737,5.726650464525151,0.03129082689345313,0.13939168370701177,0.005868026727488495,0.506,0.07660304646349579,1.0,False,1.3589679566027333
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,9,64,48,16,0.75,64,20270738,5.726650464525151,0.03129082689345313,0.14490852890667774,0.03569452932822661,0.53896,0.18892995878956467,1.0,False,1.2736326324418947
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,10,64,48,16,0.75,64,20270739,5.726650464525151,0.03129082689345313,0.13176184605643423,0.0010231119192894364,0.50172,-0.03198612072898863,-1.0,True,1.3914121454630264
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,11,64,48,16,0.75,64,20270740,5.726650464525151,0.03129082689345313,0.11423043983436448,8.971111975300245e-05,0.50964,-0.009471595417510317,-1.0,True,1.4075001986376339
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,12,64,48,16,0.75,64,20270741,5.726650464525151,0.03129082689345313,0.12859667278500128,0.0058774229108080785,0.5142,0.07666435228193139,1.0,False,1.358922843812752
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,13,64,48,16,0.75,64,20270742,5.726650464525151,0.03129082689345313,0.14872563306188558,0.002765964229811311,0.50652,-0.05259243510060464,-1.0,True,1.3765228402750136
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,14,64,48,16,0.75,64,20270743,5.726650464525151,0.03129082689345313,0.1366883413639545,0.0012254480170444688,0.4896,-0.03500639965841201,-1.0,True,1.3892397923624185
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,15,64,48,16,0.75,64,20270744,5.726650464525151,0.03129082689345313,0.15809239112936294,0.009949702564832685,0.51472,0.09974819579738115,1.0,False,1.3418284571454122
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,16,64,48,16,0.75,64,20270745,5.726650464525151,0.03129082689345313,0.15083417427057194,0.004278311869846468,0.51688,0.06540880575156886,1.0,False,1.367180452060686
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,17,64,48,16,0.75,64,20270746,5.726650464525151,0.03129082689345313,0.14815239139882713,0.0031668465857963277,0.52236,0.05627474198782548,1.0,False,1.3738451572227306
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,18,64,48,16,0.75,64,20270747,5.726650464525151,0.03129082689345313,0.14195300449034015,0.008774716826564548,0.51256,0.09367345849580097,1.0,False,1.346348054185246
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,16,19,64,48,16,0.75,64,20270748,5.726650464525151,0.03129082689345313,0.1432294589754231,0.000288212046865107,0.50084,-0.016976809089611244,-1.0,True,1.4021577592485013
expected_channel_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,32,0,96,96,0,1.0,0,20260729,5.726650464525151,0.03129082689345313,0.006094955618751741,0.9997042576261501,0.67724,0.9998521178785141,1.0,False,0.017197797619802026
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,32,0,128,96,32,0.75,128,20271729,5.726650464525151,0.03129082689345313,0.12346042830332021,0.008316558281661515,0.51372,0.09119516588976367,1.0,False,1.3481875493493005
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,32,1,128,96,32,0.75,128,20271730,5.726650464525151,0.03129082689345313,0.12327879723314195,0.012870564064104355,0.52628,0.11344850842608886,1.0,False,1.3315791313879255
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,32,2,128,96,32,0.75,128,20271731,5.726650464525151,0.03129082689345313,0.1370429637842007,0.09209749314366165,0.56232,0.30347568789552426,1.0,False,1.1802748087665649
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,32,3,128,96,32,0.75,128,20271732,5.726650464525151,0.03129082689345313,0.14152421624972725,0.024979102891155368,0.51556,0.15804778673285927,1.0,False,1.2976534308259204
active_sampled_unit_wrapper,intended_scale_safe_unit_vector_wrapper,1.0,32,4,128,96,32,0.75,128,20271733,5.726650464525151,0.03129082689345313,0.15076471483355045,0.008314921326889923,0.4994,0.09118619043961604,1.0,False,1.3481942067524129
