schema_version,design_id,fetched_at_utc,fetch_batch_id,submission_batch_id,campaign_label,grid_cell_id,experiment_id,task_id,P_parallel_streams,M_data_per_stream,base_stream_seed,replicate_id,assignment_id,pair_index,stream_seed,stream_sha256,mother_stream_sha256,stream_counts,ideal_F_echo_fixed,hardware_loss_vs_fixed_ideal,physical_pair,returned_layout_signature,layout_audit_pass,successes_00,raw_F_echo,raw_F_echo_ci_low,raw_F_echo_ci_high,raw_marginal_distribution,retry_index,retry_of_task_id
2,pm_grid_v1,2026-07-31T00:37:03.244333+00:00,fetch_20260731T003703Z_3c4fc7d2,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M16,imdb_parallel_grid_M16_P2_seed20260731_rep0_auto_v0,2607310821438467483,2,16,20260731,0,auto_v0,0,4300699173232547148,98a0fbd7b303c26f433a5a438d80b9761eb83ab7b64dfd398483292ac093352c,1fc4621dfb9fe3648b221ca0214a201ea18097fe7257422752af448de41e7fcd,"[5, 5, 2, 4]",0.46338834764831843,0.25904264452331843,"[40, 48]","[[40,48],[34,41]]",False,837,0.204345703125,0.19227693469362953,0.21696851434949507,"{'00': 837, '01': 1065, '10': 981, '11': 1213}",,
2,pm_grid_v1,2026-07-31T00:37:03.244333+00:00,fetch_20260731T003703Z_3c4fc7d2,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M16,imdb_parallel_grid_M16_P2_seed20260731_rep0_auto_v0,2607310821438467483,2,16,20260731,0,auto_v0,1,8372395983197385615,1ff6bcff0d5b01a647054b7418b06857357ba8245127da98ef372a70f63219db,649420bf8a1912a26cddb51b971d91e42e6aec8f53fb7c336a21a5b7daf56aeb,"[5, 3, 1, 7]",0.03661165235168155,-0.14869108202331843,"[34, 41]","[[40,48],[34,41]]",False,759,0.185302734375,0.17370061030952616,0.19749458689657423,"{'00': 759, '01': 833, '10': 1219, '11': 1285}",,
2,pm_grid_v1,2026-07-31T00:23:47.547769+00:00,fetch_20260731T002345Z_87f4049f,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M32,imdb_parallel_grid_M32_P2_seed20260731_rep0_auto_v0,2607310821442690814,2,32,20260731,0,auto_v0,0,4300699173232547148,c65335889ba5d97f8fc4c4e4c3585f0f72d96f85c8ae5a5af1cc6d9e1745751c,1fc4621dfb9fe3648b221ca0214a201ea18097fe7257422752af448de41e7fcd,"[7, 9, 7, 9]",0.8982315199883696,0.7126846449883696,"[41, 48]","[[41,48],[40,34]]",True,760,0.185546875,0.17393848075732343,0.19774454019027732,"{'00': 760, '01': 1366, '10': 711, '11': 1259}",,
2,pm_grid_v1,2026-07-31T00:23:47.547769+00:00,fetch_20260731T002345Z_87f4049f,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M32,imdb_parallel_grid_M32_P2_seed20260731_rep0_auto_v0,2607310821442690814,2,32,20260731,0,auto_v0,1,8372395983197385615,23aa449b758369b7e69223f2ad0b4cf83ce0b105fc2a82bc8260153666ce70d3,649420bf8a1912a26cddb51b971d91e42e6aec8f53fb7c336a21a5b7daf56aeb,"[10, 11, 2, 9]",0.18235048748172544,-0.012717871893274557,"[40, 34]","[[41,48],[40,34]]",True,799,0.195068359375,0.18322136030319566,0.20748678656291716,"{'00': 799, '01': 880, '10': 1144, '11': 1273}",,
2,pm_grid_v1,2026-07-31T00:23:48.293212+00:00,fetch_20260731T002345Z_87f4049f,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M64,imdb_parallel_grid_M64_P2_seed20260731_rep0_auto_v0,2607310821448759741,2,64,20260731,0,auto_v0,0,4300699173232547148,12f9eec3f55190e66bd97add0f248b363aa88c8cab25b5ec9117885c0d457a76,1fc4621dfb9fe3648b221ca0214a201ea18097fe7257422752af448de41e7fcd,"[17, 18, 14, 15]",0.9184882524147662,0.7417304399147662,"[48, 41]","[[48,41],[40,34]]",True,724,0.1767578125,0.1653801215596772,0.18874124469391237,"{'00': 724, '01': 751, '10': 1266, '11': 1355}",,
2,pm_grid_v1,2026-07-31T00:23:48.293212+00:00,fetch_20260731T002345Z_87f4049f,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M64,imdb_parallel_grid_M64_P2_seed20260731_rep0_auto_v0,2607310821448759741,2,64,20260731,0,auto_v0,1,8372395983197385615,c60a0d3d3cc28fc7db6bbc8a77695eabb5da015ef28fc8e2b055d1178d74e4ab,649420bf8a1912a26cddb51b971d91e42e6aec8f53fb7c336a21a5b7daf56aeb,"[18, 15, 14, 17]",0.9526980648168515,0.7278445491918515,"[40, 34]","[[48,41],[40,34]]",True,921,0.224853515625,0.21232944424552833,0.2378931990836223,"{'00': 921, '01': 931, '10': 1025, '11': 1219}",,
2,pm_grid_v1,2026-07-31T01:08:02.619317+00:00,fetch_20260731T010802Z_bd4ae0c3,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M16,imdb_parallel_grid_M16_P2_seed20260731_rep0_auto_v0,2607310905096989403,2,16,20260731,0,auto_v0,0,4300699173232547148,98a0fbd7b303c26f433a5a438d80b9761eb83ab7b64dfd398483292ac093352c,1fc4621dfb9fe3648b221ca0214a201ea18097fe7257422752af448de41e7fcd,"[5, 5, 2, 4]",0.46338834764831843,0.23633756639831843,"[40, 48]","[[40,48],[34,41]]",False,930,0.22705078125,0.21448062712751412,0.2401324298751393,"{'00': 930, '01': 1010, '10': 1018, '11': 1138}",1.0,2.6073108214384676e+18
2,pm_grid_v1,2026-07-31T01:08:02.619317+00:00,fetch_20260731T010802Z_bd4ae0c3,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M16,imdb_parallel_grid_M16_P2_seed20260731_rep0_auto_v0,2607310905096989403,2,16,20260731,0,auto_v0,1,8372395983197385615,1ff6bcff0d5b01a647054b7418b06857357ba8245127da98ef372a70f63219db,649420bf8a1912a26cddb51b971d91e42e6aec8f53fb7c336a21a5b7daf56aeb,"[5, 3, 1, 7]",0.03661165235168155,-0.13282194139831843,"[34, 41]","[[40,48],[34,41]]",False,694,0.16943359375,0.1582562526263949,0.18123040138218535,"{'00': 694, '01': 778, '10': 1163, '11': 1461}",1.0,2.6073108214384676e+18
2,pm_grid_v1,2026-07-31T01:06:51.658101+00:00,fetch_20260731T010650Z_16ab2b6a,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M96,imdb_parallel_grid_M96_P2_seed20260731_rep0_auto_v0,2607310905112989450,2,96,20260731,0,auto_v0,0,4300699173232547148,1fc4621dfb9fe3648b221ca0214a201ea18097fe7257422752af448de41e7fcd,1fc4621dfb9fe3648b221ca0214a201ea18097fe7257422752af448de41e7fcd,"[23, 27, 20, 26]",0.8828929792692342,0.7022289167692342,"[40, 34]","[[40,34],[48,41]]",True,740,0.1806640625,0.16918256024095962,0.19274398587663488,"{'00': 740, '01': 835, '10': 1090, '11': 1431}",1.0,2.6073108214548183e+18
2,pm_grid_v1,2026-07-31T01:06:51.658101+00:00,fetch_20260731T010650Z_16ab2b6a,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M96,imdb_parallel_grid_M96_P2_seed20260731_rep0_auto_v0,2607310905112989450,2,96,20260731,0,auto_v0,1,8372395983197385615,649420bf8a1912a26cddb51b971d91e42e6aec8f53fb7c336a21a5b7daf56aeb,649420bf8a1912a26cddb51b971d91e42e6aec8f53fb7c336a21a5b7daf56aeb,"[26, 23, 25, 22]",0.978758221151357,0.788572674276357,"[48, 41]","[[40,34],[48,41]]",True,779,0.190185546875,0.17845947851984778,0.20249219351625886,"{'00': 779, '01': 759, '10': 1262, '11': 1296}",1.0,2.6073108214548183e+18
2,pm_grid_v1,2026-07-31T01:20:31.605355+00:00,fetch_20260731T012031Z_a69fbe56,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M16,imdb_parallel_grid_M16_P2_seed20260731_rep0_auto_v0,2607310919042542704,2,16,20260731,0,auto_v0,0,4300699173232547148,98a0fbd7b303c26f433a5a438d80b9761eb83ab7b64dfd398483292ac093352c,1fc4621dfb9fe3648b221ca0214a201ea18097fe7257422752af448de41e7fcd,"[5, 5, 2, 4]",0.46338834764831843,0.28858366014831843,"[48, 41]","[[48,41],[34,40]]",True,716,0.1748046875,0.16347968619865083,0.18673909012293627,"{'00': 716, '01': 837, '10': 1371, '11': 1172}",2.0,2.607310905096989e+18
2,pm_grid_v1,2026-07-31T01:20:31.605355+00:00,fetch_20260731T012031Z_a69fbe56,imdb_parallel_qos_grid_001_P2_6fbe20de144c,imdb_parallel_qos_grid_001,P2_M16,imdb_parallel_grid_M16_P2_seed20260731_rep0_auto_v0,2607310919042542704,2,16,20260731,0,auto_v0,1,8372395983197385615,1ff6bcff0d5b01a647054b7418b06857357ba8245127da98ef372a70f63219db,649420bf8a1912a26cddb51b971d91e42e6aec8f53fb7c336a21a5b7daf56aeb,"[5, 3, 1, 7]",0.03661165235168155,-0.08838834764831845,"[34, 40]","[[48,41],[34,40]]",True,512,0.125,0.11522193602218074,0.13548079703334315,"{'00': 512, '01': 566, '10': 1538, '11': 1480}",2.0,2.607310905096989e+18
2,pm_grid_v1,2026-07-31T01:26:21.834018+00:00,fetch_20260731T012621Z_815fb3e0,imdb_parallel_qos_grid_001_P4_7a87d3d77c54,imdb_parallel_qos_grid_001,P4_M4,imdb_parallel_grid_M4_P4_seed20260731_rep0_auto_v0,2607310923212616284,4,4,20260731,0,auto_v0,0,4300699173232547148,be10444e5d88b0f89ce9647e9acaac07871451e08c433155bdc34207539eb3de,1fc4621dfb9fe3648b221ca0214a201ea18097fe7257422752af448de41e7fcd,"[0, 1, 0, 3]",0.25,0.0205078125,"[61, 54]","[[61,54],[40,34],[75,68],[48,41]]",True,940,0.2294921875,0.21687141859996506,0.24261987581769145,"{'00': 940, '01': 730, '10': 1326, '11': 1100}",0.0,
